Id	Title	Found words	Date	Abstract (beginning)
29244847	Cognitive failures in late adulthood: The role of age, social context and depressive symptoms.	aging	2017-??-??	The incidence of self-reported cognitive failures among older adults may be an index of successful cognitive aging. However, self-reported cognitive failures are biased by variation in depressive symptomatology. This study examined age-related and socio-cultural context effects on cognitive failures while controlling for depressive symptoms. Both overall and specific factors of cognitive failures were determined. A further goal was to investigate the relationship between working memory and cognitive efficiency measures and cognitive failures. One hundred and thirty-nine cognitively healthy adults were recruited from two populations known to differ in their dispositions toward cognitive failures and depressive symptoms (Sardinia and northern Italy). The participants were assigned to Young Old (65-74 years old), Old (75-84 years of age) or Oldest Old (≥85 years of age) groups, and individually presented with a test battery including the Cognitive Failures Questionnaire, the Centre for Ep…
28872043	Representations of their own sexuality and aging body by old people: phenomenological and psychodynamic approach.	aging	2017-09-01	The sexuality of the elderly is rarely mentioned in general medicine although it holds an important place in many old people's life, and sexual well-being is a part of the global well-being according to the World Health Organization. To explore the representations of their own sexuality and aging body by the elderly. Qualitative study using semi-structured interviews in 15 healthy elderly people over 65 years of age, living at home. In-depth interviews were transcribed and submitted to qualitative content using a phenomenological and a psychodynamic analysis. The phenomenological approach allows to explore the meaning and significance of the sexuality of older people (their representations and individual experience). The psychodynamic approach allows an analysis of defense mechanisms in verbal and nonverbal behavior. Some elderly maintain a view of their sexuality in accordance with the societal standards existing before the sexual liberalization following the events of May 68 in Franc…
24457528	Serum profiling of healthy aging identifies phospho- and sphingolipid species as markers of human longevity.	aging	2014-01-??	As centenarians well represent the model of healthy aging, there are many important implications in revealing the underlying molecular mechanisms behind such successful aging. By combining NMR metabonomics and shot-gun lipidomics in serum we analyzed metabolome and lipidome composition of a group of centenarians with respect to elderly individuals. Specifically, NMR metabonomics profiling of serum revealed that centenarians are characterized by a metabolic phenotype distinct from that of elderly subjects, in particular regarding amino acids and lipid species. Shot- gun lipidomics approach displays unique changes in lipids biosynthesis in centenarians, with 41 differently abundant lipid species with respect to elderly subjects. These findings reveal phospho/sphingolipids as putative markers and biological modulators of healthy aging, in humans. Considering the particular actions of these metabolites, these data are suggestive of a better counteractive antioxidant capacity and a well-dev…
30411727	Normal patterns of regional brain <sup>18</sup>F-FDG uptake in normal aging.	aging	????-??-??	OBJECTIVE: Normal aging alters the brain function even in the absence of recognizable structural changes, which can be detected using modern in vivo functional imaging modalities such as fluorine-18 fluorodeoxyglucose positron emission tomography (F-FDG PET) scan. It is highly important to recognize normal age-dependent changes in order to correctly diagnose pathologic states. The goal of the current study was to evaluate the age-related changes in regional brain F-FDG uptake in normal healthy population.    SUBJECTS AND METHODS: This study was part of the cardiovascular molecular calcification assessed by F-sodium fluoride (NaF) (CAMONA) PET/computed tomography (CT) study. This study was approved by the Danish National Committee on Health Research Ethics registered at ClinicalTrials.gov (NCT01724749). Forty normal healthy subjects were prospectively recruited in group A (22-32 years) and B (56-75 years) and underwent F-FDG PET/CT. Static images were obtained 180 minutes following F-FD…
25468185	Social cognition in schizophrenia and healthy aging: differences and similarities.	aging	2014-12-??	UNLABELLED: Social cognition is impaired in schizophrenia but it is not clear whether this is specific for the illness and whether emotion perception is selectively affected. To study this we examined the perception of emotional and non-emotional clues in facial expressions, a key social cognitive skill, in schizophrenia patients and old healthy individuals using young healthy individuals as reference. Tests of object recognition, visual orientation, psychomotor speed, and working memory were included to allow multivariate analysis taking into account other cognitive functions    RESULTS: Schizophrenia patients showed impairments in recognition of identity and emotional facial clues compared to young and old healthy groups. Severity was similar to that for object recognition and visuospatial processing. Older and younger healthy groups did not differ from each other on these tests. Schizophrenia patients and old healthy individuals were similarly impaired in the ability to automaticall…
28510785	The impact of leisure on mental health of Sardinian elderly from the 'blue zone': evidence for ageing well.	longevity	2018-??-??	BACKGROUND: There has been scientific interest in the Sardinia population for a number of years and for a variety of reasons, including its extreme longevity. This is especially prevalent in the central-eastern region of the island, where a blue zone region has been precisely delineated.    AIMS: The present study examines the influence of leisure activities on psychological well-being and depressive symptoms in elderly individuals living in the blue zone region of inner Sardinia.    METHODS: Eighty-three participants were recruited according to strict inclusion criteria to ensure their cognitive and residency status. Individuals were assigned to either old (70-79 years) or very old (≥80 years) groups, and were administered a test battery to determine their socio-demographic and lifestyle characteristics, perceived physical health, and self-perceived well-being and depressive symptoms.    RESULTS: The primary findings indicate that participation in leisure activities positively influen…
23273984	The aging ovary--the poor granulosa cells.	aging	2013-01-??	The development of a competent oocyte intimately depends on the maintenance of energetic homeostasis in the ovarian and follicular microenvironment. On this basis, it is very likely that the oocyte ages as the ovary ages. Starting from the molecular evidence for energy perturbations in the whole ovary, we review current knowledge on the involvement of endogenous highly reactive metabolites in follicle aging. The first part provides an update of recent findings that confirm the key role of oxidative stress in aged granulosa cells. The second part focuses on studies providing evidence for the implication of advanced glycation end product (AGE) in aging reproductive dysfunction. With their prolonged half-life and ability to act as signaling molecules AGEs may gradually accumulate in the ovary and potentiate the wide spatiotemporal spread of oxidative stress. Clinical evidence for this view supports the hypothesis that AGE is a good candidate as a predictive marker and therapeutic target i…
24793646	Antecedents of Attitudes to Aging: A Study of the Roles of Personality and Well-being.	aging	2016-04-??	PURPOSE OF THE STUDY: Little research has examined factors that contribute to the formation of attitudes toward one's own aging. The current study aimed to examine personality as defined by the Five-Factor model of personality as an antecedent of attitudes, while taking into account demographic and health factors known to be relevant to such attitudes.    DESIGN AND METHODS: Participants aged 60 years or older (N = 421) were part of a longitudinal study of health and well-being in Australia, and completed a postal survey comprising measures of personality, the Attitudes to Ageing Questionnaire, the SF-12 health survey, and the Satisfaction with Life Scale.    RESULTS: Higher levels of neuroticism were associated with less positive attitudes toward old age as a time of psychological growth, and higher extraversion and agreeableness were significant predictors of less negative attitudes toward psychosocial loss. Baseline measures of self-reported mental and physical health, as well as ch…
28982708	The Reduction of Ventrolateral Prefrontal Cortex Gray Matter Volume Correlates with Loss of Economic Rationality in Aging.	aging	2017-??-06	The population of people above 65 years old continues to grow, and there is mounting evidence that as humans age they are more likely to make errors. However, the specific effect of neuroanatomical aging on the efficiency of economic decision-making is poorly understood. We used whole-brain voxel-based morphometry analysis to determine where reduction of gray matter volume in healthy female and male adults over the age of 65 years correlates with a classic measure of economic irrationality: violations of the Generalized Axiom of Revealed Preference. All participants were functionally normal with Mini-Mental State Examination scores ranging between 26 and 30. While our elders showed the previously reported decline in rationality compared with younger subjects, chronological age per se did not correlate with rationality measures within our population of elders. Instead, reduction of gray matter density in ventrolateral prefrontal cortex correlates tightly with irrational behavior. Intere…
29654977	Identification of Isomeric Aspartate residues in βB2-crystallin from Aged Human Lens.	aging	2018-07-??	Many post-translational modifications such as oxidation, deamidation and isomerization of amino acid residues occur in lens proteins with aging. One such modification, isomerization of aspartate in lens α-crystallin, has been well studied by amino acid enantiomer analysis and LC-MS/MS. LC-MS/MS can quickly and easily identify D- and L-amino acid-containing peptides without purification of lens protein mixtures. However, this method has a weak point in that isomeric peptides of major components are detected predominantly, while those from minor proteins such as β- and γ-crystallins have not been fully determined. Therefore, the isomerization of amino acid residues in β- and γ-crystallin families has been little studied. To solve those problems and detect the isomerization of Asp residues in lens βB2-crystallin, the main component of the β-crystallin family, here we have developed steps for sample fractionation before d/l analysis based on either LC-MS/MS or amino acid derivatization to …
19853023	Gender- and age-dependent changes in nucleoside levels in the cerebral cortex and white matter of the human brain.	aging	2010-04-05	Nucleosides are neuromodulators that participate in various neuronal functions in the brain. In previous studies, we described regional differences in the concentrations of nucleosides and their derivatives in the human brain. To better understand the functions of nucleosides in the central nervous system, we investigated gender- and age-dependent changes in the levels of nucleosides and their metabolites. The concentrations of uridine, inosine, guanosine and adenosine as well as uracil, hypoxanthine and xanthine were measured in the frontal cortex and white matter of post-mortem brain tissue samples of middle-aged and old men as well as women. The average in vivo concentrations calculated from the 40 samples investigated (regardless of anatomical locations, gender or age; mean +/- S.E.M.) were as follows (pmol/mg wet tissue weight): 9.7 +/- 0.8 adenosine, 85.8 +/- 3.9 inosine, 14.3 +/- 0.9 guanosine, 37.3 +/- 1.8 uridine, 8.9 +/- 0.6 uracil, 63.3 +/- 2.1 hypoxanthine and 38.7 +/- 1.5 …
24098589	Faster metabolite (1)H transverse relaxation in the elder human brain.	aging	2013-??-??	(1)H magnetic resonance spectroscopy (MRS) is unique among imaging modalities because signals from several metabolites are measured during a single examination period. Each metabolite reflects a distinct intracellular process. Furthermore transverse (T2 ) relaxation times probe the viability of the cell microenvironment, e.g., the viscosity of the cellular fluids, the microscopic susceptibility distribution within the cells, and the iron content. In this study, T2s of brain metabolites were measured in the occipital lobe of eighteen young and fourteen elderly subjects at a field strength of 4 tesla. The T2s of N-acetylaspartate, total creatine, and total choline were 23%, 16% and 10% shorter in elderly than in young subjects. The findings of this study suggest that noninvasive detection of T2 provides useful biological information on changes in the cellular microenvironment that take place during aging.
24524960	Healthy ageing and home: the perspectives of very old people in five European countries.	aging	2014-04-??	This paper reports on in-depth research, using a grounded theory approach, to examine the ways in which very old people perceive healthy ageing in the context of living alone at home within urban settings in five European countries. This qualitative study was part of a cross-national project entitled ENABLE-AGE which examined the relationship between home and healthy ageing. Interviews explored the notion of healthy ageing, the meaning and importance of home, conceptualisations of independence and autonomy and links between healthy ageing and home. Data analysis identified five ways in which older people constructed healthy ageing: home and keeping active; managing lifestyles, health and illness; balancing social life; and balancing material and financial circumstances. Older people reflected on their everyday lives at home in terms of being engaged in purposeful, meaningful action and evaluated healthy ageing in relation to the symbolic and practical affordances of the home, contextua…
26410670	Age related changes in ocular motor testing in healthy subjects.	aging	2015-??-??	The aim of the present study was the investigation of age influenced changes in ocular motility testing in healthy subjects. Two hundred and fifty subjects between 18 and 70 years old were enrolled in a prospective study. Study population was divided in 5 groups of 50 subjects each (group A: 18-30 years old, group B: 31-40 years old, group C: 41-50 years old, group D: 51-60 years old and group E: 61-70 years old). Ocular motility was recorded by video-oculography and age related normative data were obtained with respect to: a) gain and slow phase velocity of smooth pursuit tracking, b) latency, velocity and accuracy of saccade eye movements and c) gain and slow phase velocity of optokinetic eye movements. The influence of age on all parameters was examined by one-way ANOVA. A statistically significant difference was found in all parameters analyzed for smooth pursuit test, saccade eye movements and optokinetic eye movements in between groups. In conclusion, aging influences the majorit…
25804360	Cortical gyrification and its relationships with cortical volume, cortical thickness, and cognitive performance in healthy mid-life adults.	aging	2015-??-??	Across species, greater cortical gyrification, or folding of the cortex, has been shown to be associated with higher cognitive abilities and is thought to reflect an evolutionary process aimed at maximizing the number of cerebral computational units while minimizing the energy and communication costs of larger brains. Relatively little is known about the significance of individual variation in gyrification in humans and how it relates to other aspects of cerebral structure and function. In the current study, we examined relationships between cortical gyrification and (i) cortical volume, (ii) cortical thickness, and (iii) executive functions. Participants were middle-aged healthy adults (44-48 years old, n=396) in a community-based sample. T1-weighted 3D structural magnetic resonance imaging scans were acquired in a Fast Field Echo sequence. Cortical gyrification, volume, and thickness were measured through the semi-automated software FreeSurfer. Results showed that cortical gyrificati…
30738080	Comparative analysis of the gut microbiota in centenarians and young adults shows a common signature across genotypically non-related populations.	longevity, aging	2019-??-??	Gut microbiota is among the factors that may be involved in healthy aging. Broader and geographically spread studies on gut microbiota of centenarians can help in identifying a common signature of longevity. We identified an endogamous Indian population with high centenarian prevalence. Here, we compared the gut microbiota composition and fecal metabolites of a centenarians group (˜100 years) with young people (25-45 years) of the region with the high centenarian prevalence and the nearby region of low centenarian prevalence to decipher microbial-related longevity signatures. Also, we compared our results with publicly available datasets of similar groups including 125 centenarians from three countries (Italy, Japan, China). Our comparative analysis resulted in higher biodiversity within Ruminococcaceae in centenarians, with respect to younger adults, irrespective of their nationality. We observed bacterial signatures that are common among extremely old people of different nationality.…
29587243	Serum calcium levels and neuropsychological performance in depression and matched healthy controls: Reversal of correlation a marker of the aging cognitive clock?	aging	2018-??-??	BACKGROUND: Major depressive disorder (MDD) is associated with cognitive impairment, that might be related to disturbed calcium homeostasis. Calcium-related processes have also been implicated in age related cognitive decline. Since serum calcium and brain interstitial fluids maintain long-term equilibrium under normal physiological states, serum calcium levels could affect neuronal and hence cognitive function. High serum calcium has been associated with cognitive decline in geriatric populations, whereas evidence for MDD and healthy populations is less consistent.    METHODS: Differences in neuropsychological (NPS) performance and their relationship with serum calcium (total, ionized, total to ionized ratio) in (partially) remitted MDD patients (n = 59) and healthy controls (HC) (n = 59) individually matched for age, gender and education (age-range 19-60 years) were examined. Modulation of study parameters and their interaction by the factor age was investigated, with subgroups young…
24977926	Variability and predictors of urinary concentrations of phthalate metabolites during early childhood.	aging	2014-??-??	The variability and predictors of urinary concentrations of phthalate metabolites in preschool-aged children have not been thoroughly examined. Additionally, the impact of temporal changes in the use and restriction of phthalates in children's products has not been assessed. Our objective was to identify demographic, behavioral, and temporal predictors of urinary phthalate metabolite concentrations in young children. Between 2004 and 2011, we collected up to five urine samples from each of 296 children participating in a prospective birth cohort during annual study visits at ages 1-5 years. We used linear mixed models to calculate intraclass correlation coefficients (ICCs), a measure of within-individual reproducibility, and identify demographic predictors of urinary phthalate metabolites. We used multivariable linear regression to examine cross-sectional relationships between food packaging or personal care product use and phthalate metabolites measured at age 5 years. Across annual m…
10705043	The effects of aging on enzyme activities and metabolite concentrations in skeletal muscle from sedentary male and female subjects.	aging	2000-02-??	Aging affects the metabolic capacity of skeletal muscle, in particular the glycolytic and respiratory capacities. The purpose of this study was to quantify biochemical alterations due to aging in muscular metabolic capacity in human skeletal muscles in sedentary subjects. The activities of various marker enzymes and metabolites related to glycolysis, Krebs' cycle and the electron transfer chain and high energy phosphate compounds were measured in muscle biopsies from the rectus abdominis, vastus lateralis, and gluteus maximus muscles of 76 sedentary subjects (32 males and 44 females) between 15 and 91 yr. No significant differences between males and females were found, but changes related to age were: a decrease in hexokinase and lactate dehydrogenase activities in the rectus abdominis; a decrease in citrate synthase activity and citrate in the vastus lateralis; an increase in pyruvate kinase activity and a decrease in ATP and creatine phosphate concentrations in the gluteus maximus. T…
29772765	Protein Carbamylation: A Marker Reflecting Increased Age-Related Cell Oxidation.	aging	2018-05-17	Carbamylation is a post-translational modification of proteins that may partake in the oxidative stress-associated cell damage, and its increment has been recently proposed as a "hallmark of aging". The molecular mechanisms associated with aging are related to an increased release of free radicals. We have studied whether carbamylated proteins from the peripheral blood of healthy subjects are related to oxidative damage and aging, taking into account the gender and the immune profile of the subjects. The study was performed in healthy human volunteers. The detection of protein carbamylation and malondialdehyde (MDA) levels was evaluated using commercial kits. The immune profile was calculated using parameters of immune cell function. The results show that the individuals from the elderly group (60⁻79 years old) have increased carbamylated protein and MDA levels. When considered by gender, only men between 60 and 79 years old showed significantly increased carbamylated proteins and MDA …
27800690	Order of aging of major human organs or systems and evaluation of health status based on aging.	aging	2017-03-??	To determine the functional age of an individual, a quantitative system for the assessment of aging status was developed in the present study. A total of 1579 subjects were selected randomly from patients undergoing physical examination. The index of organic mild impairment (IOMI) and IOMI corrected for age (COMI) were calculated. By receiver operating characteristic (ROC) curve analysis of the IOMIs of younger and elderly subjects, a cutoff value for COMI of 30% was obtained. About 95% of <30-year-old subjects were healthy. These data suggest that organs and systems reflect the aging status of an individual and may be a useful tool for evaluating health status.
29571628	Differences in α-Crystallin isomerization reveal the activity of protein isoaspartyl methyltransferase (PIMT) in the nucleus and cortex of human lenses.	aging	2018-??-??	Although it is well-known that protein turnover essentially stops in mature lens fiber cells, mapping out the ensuing protein degradation and its effects on lens function over time remains challenging. In particular, isomerization is a common, spontaneous post-translational modification that occurs over long timescales and generates products invisible to most analytical methods. Nevertheless, isomerization can significantly impact protein structure, function, and solubility, which are all necessary to maintain clarity and proper refractive index within the lens. Herein, we examine the degree of isomerization occurring in crystallin proteins in the human eye lens as a function of both age and location within the lens. A novel mass spectrometric technique leveraging radical chemistry enables detailed characterization of proteins extracted from the cortex and nucleus of the lens. It is observed that the degree of isomerization increases significantly between the cortex and nucleus and bet…
26072480	Exploring the structure and function of temporal networks with dynamic graphlets.	aging	2015-06-15	MOTIVATION: With increasing availability of temporal real-world networks, how to efficiently study these data? One can model a temporal network as a single aggregate static network, or as a series of time-specific snapshots, each being an aggregate static network over the corresponding time window. Then, one can use established methods for static analysis on the resulting aggregate network(s), but losing in the process valuable temporal information either completely, or at the interface between different snapshots, respectively. Here, we develop a novel approach for studying a temporal network more explicitly, by capturing inter-snapshot relationships.    RESULTS: We base our methodology on well-established graphlets (subgraphs), which have been proven in numerous contexts in static network research. We develop new theory to allow for graphlet-based analyses of temporal networks. Our new notion of dynamic graphlets is different from existing dynamic network approaches that are based on…
25559504	Optical coherence tomography measurements of choroidal thickness in healthy eyes: correlation with age and axial length.	aging	2015-01-??	BACKGROUND AND OBJECTIVE: To evaluate subfoveal choroidal thickness (CT) in healthy eyes using spectral-domain optical coherence tomography (SD-OCT) and provide correlations between age and axial length.    PATIENTS AND METHODS: Enhanced depth SD-OCT imaging was performed with Cirrus (Carl Zeiss Meditec, Dublin, CA) and Spectralis (Heidelberg Engineering, Heidelberg, Germany) instruments. CT was measured from the outer limit of the retinal pigment epithelium to the inner surface of the sclera.    RESULTS: The study enrolled 155 patients, with at least 20 in each decade between 22 and 89 years old. Mean axial length was 23.6 mm. Mean Heidelberg subfoveal CT was 286 µm. The correlation between Heidelberg and Zeiss subfoveal CT measurements was strong (r = .978) and significant (P < .001). Mean subfoveal CT was 7.7 µm thinner by Heidelberg versus Cirrus (P < .001). Multiple linear regression analysis revealed that age (P < .001), axial length (P = .001), and sex (P = .025) were significan…
22081680	The effect of age and cerebral ischemia on diffusion-weighted proton MR spectroscopy of the human brain.	aging	2012-03-??	BACKGROUND AND PURPOSE: DW-MRS is a promising tool for the noninvasive identification of the cellular response to cerebral ischemia. To date, the potential confounding effects of aging and the stage of ischemia are unknown. We, therefore, examined the cross-sectional effects of age and different stages of cerebral ischemia on the diffusion of brain metabolites.    MATERIALS AND METHODS: The ADCs of 3 major metabolites, including Cho, Cr, and NAA were measured by DW-MRS in healthy younger (n = 26, 24 ± 2.2 years of age) and older (n = 17, 63 ± 7.0 years of age) adults, as well as in patients with acute (n = 7, 57 ± 4.0 years of age) and subacute (n = 12, 62 ± 7.8 years of age) cerebral ischemia.    RESULTS: Compared with younger adults, healthy older adults presented with significantly reduced ADC values of NAA (P = .000052), Cr (P = .000018), and Cho (P = .00075). Meanwhile, the ADC values of NAA (F(2,36) = 6.057, P = .006), Cr (F(2,36) = 5.634, P = .008), and Cho (F(2,36) = 8.167, P =…
