Id	Title	Found words	Abstract (beginning)
26463762	Energetics of Aging and Frailty: The FRADEA Study.	aging	BACKGROUND: Resting metabolic rate (RMR) and total daily energy expenditure (TDEE) decrease with aging, but it is not known whether frailty modulates this association. We hypothesize that RMR and TDEE values are similar between younger and older nonfrail older adults, whereas they are lower in older prefrail and frail compared with younger adults.    METHODS: A cross-sectional analysis of the FRADEA study, Albacete (Spain), including 402 participants (213 women) older than 70 years (mean age 76 years; range 70-91), was conducted. Estimated RMR (eRMR), oxygen consumption (VO2), expired volume (Ve), and respiratory frequency (RF) were determined using indirect calorimetry; TDEE was determined with the Calcumed instrument; and fat-free mass was determined by bioimpedanciometry. General linear models were used for analysis.    RESULTS: Mean TDEE was 1,889 (SD 470) kcal and eRMR was 1,071 (SD 323) kcal. Both TDEE (B = -24 kcal/day; 95% confidence interval: -35.4 to -14.2; p < .001) and eRMR…
28111190	Increased sensitivity to age-related differences in brain functional connectivity during continuous multiple object tracking compared to resting-state.	aging	Age-related differences in cognitive agility vary greatly between individuals and cognitive functions. This heterogeneity is partly mirrored in individual differences in brain network connectivity as revealed using resting-state functional magnetic resonance imaging (fMRI), suggesting potential imaging biomarkers for age-related cognitive decline. However, although convenient in its simplicity, the resting state is essentially an unconstrained paradigm with minimal experimental control. Here, based on the conception that the magnitude and characteristics of age-related differences in brain connectivity is dependent on cognitive context and effort, we tested the hypothesis that experimentally increasing cognitive load boosts the sensitivity to age and changes the discriminative network configurations. To this end, we obtained fMRI data from younger (n=25, mean age 24.16±5.11) and older (n=22, mean age 65.09±7.53) healthy adults during rest and two load levels of continuous multiple obje…
26973114	Object individuation and compensation in healthy aging.	aging	Theories on neural compensation suggest that aged participants overactivate the brain areas involved in a task to compensate for the age-related decline. In this electrophysiological study, we investigated the temporal locus of neural overactivation in aging during multiple target processing. We measured performance and three event-related brain potential responses (N1, N2pc, and contralateral delay activity) in young and old adults, while they enumerated a variable number (1-4) of targets presented in an easy (distractor absent) or difficult (distractor present) condition. The main results indicated that although N2pc (∼200 ms) increased in amplitude in the distractor-present condition in the young group, no modulation occurred for the old group. Old participants were associated with larger N2pc amplitudes than young participants in the distractor-absent condition, where both groups had comparable levels of accuracy. These effects were not present for N1 and contralateral delay activi…
29244847	Cognitive failures in late adulthood: The role of age, social context and depressive symptoms.	aging	The incidence of self-reported cognitive failures among older adults may be an index of successful cognitive aging. However, self-reported cognitive failures are biased by variation in depressive symptomatology. This study examined age-related and socio-cultural context effects on cognitive failures while controlling for depressive symptoms. Both overall and specific factors of cognitive failures were determined. A further goal was to investigate the relationship between working memory and cognitive efficiency measures and cognitive failures. One hundred and thirty-nine cognitively healthy adults were recruited from two populations known to differ in their dispositions toward cognitive failures and depressive symptoms (Sardinia and northern Italy). The participants were assigned to Young Old (65-74 years old), Old (75-84 years of age) or Oldest Old (≥85 years of age) groups, and individually presented with a test battery including the Cognitive Failures Questionnaire, the Centre for Ep…
28872043	Representations of their own sexuality and aging body by old people: phenomenological and psychodynamic approach.	aging	The sexuality of the elderly is rarely mentioned in general medicine although it holds an important place in many old people's life, and sexual well-being is a part of the global well-being according to the World Health Organization. To explore the representations of their own sexuality and aging body by the elderly. Qualitative study using semi-structured interviews in 15 healthy elderly people over 65 years of age, living at home. In-depth interviews were transcribed and submitted to qualitative content using a phenomenological and a psychodynamic analysis. The phenomenological approach allows to explore the meaning and significance of the sexuality of older people (their representations and individual experience). The psychodynamic approach allows an analysis of defense mechanisms in verbal and nonverbal behavior. Some elderly maintain a view of their sexuality in accordance with the societal standards existing before the sexual liberalization following the events of May 68 in Franc…
24457528	Serum profiling of healthy aging identifies phospho- and sphingolipid species as markers of human longevity.	aging	As centenarians well represent the model of healthy aging, there are many important implications in revealing the underlying molecular mechanisms behind such successful aging. By combining NMR metabonomics and shot-gun lipidomics in serum we analyzed metabolome and lipidome composition of a group of centenarians with respect to elderly individuals. Specifically, NMR metabonomics profiling of serum revealed that centenarians are characterized by a metabolic phenotype distinct from that of elderly subjects, in particular regarding amino acids and lipid species. Shot- gun lipidomics approach displays unique changes in lipids biosynthesis in centenarians, with 41 differently abundant lipid species with respect to elderly subjects. These findings reveal phospho/sphingolipids as putative markers and biological modulators of healthy aging, in humans. Considering the particular actions of these metabolites, these data are suggestive of a better counteractive antioxidant capacity and a well-dev…
30411727	Normal patterns of regional brain <sup>18</sup>F-FDG uptake in normal aging.	aging	OBJECTIVE: Normal aging alters the brain function even in the absence of recognizable structural changes, which can be detected using modern in vivo functional imaging modalities such as fluorine-18 fluorodeoxyglucose positron emission tomography (F-FDG PET) scan. It is highly important to recognize normal age-dependent changes in order to correctly diagnose pathologic states. The goal of the current study was to evaluate the age-related changes in regional brain F-FDG uptake in normal healthy population.    SUBJECTS AND METHODS: This study was part of the cardiovascular molecular calcification assessed by F-sodium fluoride (NaF) (CAMONA) PET/computed tomography (CT) study. This study was approved by the Danish National Committee on Health Research Ethics registered at ClinicalTrials.gov (NCT01724749). Forty normal healthy subjects were prospectively recruited in group A (22-32 years) and B (56-75 years) and underwent F-FDG PET/CT. Static images were obtained 180 minutes following F-FD…
25468185	Social cognition in schizophrenia and healthy aging: differences and similarities.	aging	UNLABELLED: Social cognition is impaired in schizophrenia but it is not clear whether this is specific for the illness and whether emotion perception is selectively affected. To study this we examined the perception of emotional and non-emotional clues in facial expressions, a key social cognitive skill, in schizophrenia patients and old healthy individuals using young healthy individuals as reference. Tests of object recognition, visual orientation, psychomotor speed, and working memory were included to allow multivariate analysis taking into account other cognitive functions    RESULTS: Schizophrenia patients showed impairments in recognition of identity and emotional facial clues compared to young and old healthy groups. Severity was similar to that for object recognition and visuospatial processing. Older and younger healthy groups did not differ from each other on these tests. Schizophrenia patients and old healthy individuals were similarly impaired in the ability to automaticall…
28510785	The impact of leisure on mental health of Sardinian elderly from the 'blue zone': evidence for ageing well.	longevity	BACKGROUND: There has been scientific interest in the Sardinia population for a number of years and for a variety of reasons, including its extreme longevity. This is especially prevalent in the central-eastern region of the island, where a blue zone region has been precisely delineated.    AIMS: The present study examines the influence of leisure activities on psychological well-being and depressive symptoms in elderly individuals living in the blue zone region of inner Sardinia.    METHODS: Eighty-three participants were recruited according to strict inclusion criteria to ensure their cognitive and residency status. Individuals were assigned to either old (70-79 years) or very old (≥80 years) groups, and were administered a test battery to determine their socio-demographic and lifestyle characteristics, perceived physical health, and self-perceived well-being and depressive symptoms.    RESULTS: The primary findings indicate that participation in leisure activities positively influen…
23273984	The aging ovary--the poor granulosa cells.	aging	The development of a competent oocyte intimately depends on the maintenance of energetic homeostasis in the ovarian and follicular microenvironment. On this basis, it is very likely that the oocyte ages as the ovary ages. Starting from the molecular evidence for energy perturbations in the whole ovary, we review current knowledge on the involvement of endogenous highly reactive metabolites in follicle aging. The first part provides an update of recent findings that confirm the key role of oxidative stress in aged granulosa cells. The second part focuses on studies providing evidence for the implication of advanced glycation end product (AGE) in aging reproductive dysfunction. With their prolonged half-life and ability to act as signaling molecules AGEs may gradually accumulate in the ovary and potentiate the wide spatiotemporal spread of oxidative stress. Clinical evidence for this view supports the hypothesis that AGE is a good candidate as a predictive marker and therapeutic target i…
24793646	Antecedents of Attitudes to Aging: A Study of the Roles of Personality and Well-being.	aging	PURPOSE OF THE STUDY: Little research has examined factors that contribute to the formation of attitudes toward one's own aging. The current study aimed to examine personality as defined by the Five-Factor model of personality as an antecedent of attitudes, while taking into account demographic and health factors known to be relevant to such attitudes.    DESIGN AND METHODS: Participants aged 60 years or older (N = 421) were part of a longitudinal study of health and well-being in Australia, and completed a postal survey comprising measures of personality, the Attitudes to Ageing Questionnaire, the SF-12 health survey, and the Satisfaction with Life Scale.    RESULTS: Higher levels of neuroticism were associated with less positive attitudes toward old age as a time of psychological growth, and higher extraversion and agreeableness were significant predictors of less negative attitudes toward psychosocial loss. Baseline measures of self-reported mental and physical health, as well as ch…
28982708	The Reduction of Ventrolateral Prefrontal Cortex Gray Matter Volume Correlates with Loss of Economic Rationality in Aging.	aging	The population of people above 65 years old continues to grow, and there is mounting evidence that as humans age they are more likely to make errors. However, the specific effect of neuroanatomical aging on the efficiency of economic decision-making is poorly understood. We used whole-brain voxel-based morphometry analysis to determine where reduction of gray matter volume in healthy female and male adults over the age of 65 years correlates with a classic measure of economic irrationality: violations of the Generalized Axiom of Revealed Preference. All participants were functionally normal with Mini-Mental State Examination scores ranging between 26 and 30. While our elders showed the previously reported decline in rationality compared with younger subjects, chronological age per se did not correlate with rationality measures within our population of elders. Instead, reduction of gray matter density in ventrolateral prefrontal cortex correlates tightly with irrational behavior. Intere…
29654977	Identification of Isomeric Aspartate residues in βB2-crystallin from Aged Human Lens.	aging	Many post-translational modifications such as oxidation, deamidation and isomerization of amino acid residues occur in lens proteins with aging. One such modification, isomerization of aspartate in lens α-crystallin, has been well studied by amino acid enantiomer analysis and LC-MS/MS. LC-MS/MS can quickly and easily identify D- and L-amino acid-containing peptides without purification of lens protein mixtures. However, this method has a weak point in that isomeric peptides of major components are detected predominantly, while those from minor proteins such as β- and γ-crystallins have not been fully determined. Therefore, the isomerization of amino acid residues in β- and γ-crystallin families has been little studied. To solve those problems and detect the isomerization of Asp residues in lens βB2-crystallin, the main component of the β-crystallin family, here we have developed steps for sample fractionation before d/l analysis based on either LC-MS/MS or amino acid derivatization to …
